地域コード	地域	人口	面積（km2）	人口密度（1km2当たり）	世帯数
0	全国	127094745	377970.75	340.8	53448685
1	市部	116137232	216973.76	535.5	49319924
2	郡部	10957513	160912.77	70.2	4128761
1000	北海道	5381733	83424.31	68.6	2444810
1001	市部	4395172	18536.2	238.3	2021698
1002	郡部	986561	64829.1	16.5	423112
1100	札幌市	1952356	1121.26	1741.2	921837
1101	札幌市 中央区	237627	46.42	5119.1	132006
1102	札幌市 北区	285321	63.57	4488.3	133662
1103	札幌市 東区	261912	56.97	4597.4	124425
1104	札幌市 白石区	209584	34.47	6080.2	104608
1105	札幌市 豊平区	218652	46.23	4729.7	110171
1106	札幌市 南区	141190	657.48	214.7	61291
1107	札幌市 西区	213578	75.1	2843.9	97750
1108	札幌市 厚別区	127767	24.38	5240.6	55585
1109	札幌市 手稲区	140999	56.77	2483.7	57333
1110	札幌市 清田区	115726	59.87	1933	45006
1202	函館市	265979	677.86	392.4	123950
1203	小樽市	121924	243.83	500	55466
1204	旭川市	339605	747.66	454.2	155747
1205	室蘭市	88564	80.88	1095	43616
1206	釧路市	174742	1362.92	128.2	82078
1207	帯広市	169327	619.34	273.4	77707
1208	北見市	121226	1427.41	84.9	56202
1209	夕張市	8843	763.07	11.6	4539
1210	岩見沢市	84499	481.02	175.7	36155
1211	網走市	39077	471	83	18035
1212	留萌市	22221	297.83	74.6	10402
1213	苫小牧市	172737	561.57	307.6	78298
1214	稚内市	36380	761.47	47.8	16486
1215	美唄市	23035	277.69	83	10173
1216	芦別市	14676	865.04	17	6862
1217	江別市	120636	187.38	643.8	51983
1218	赤平市	11105	129.88	85.5	4980
1219	紋別市	23109	830.78	27.8	11127
1220	士別市	19914	1119.22	17.8	8650
1221	名寄市	29048	535.2	54.3	13086
1222	三笠市	9076	302.52	30	4254
1223	根室市	26917	506.25	65.4	11383
1224	千歳市	95648	594.5	160.9	40638
1225	滝川市	41192	115.9	355.4	18651
1226	砂川市	17694	78.68	224.9	7858
1227	歌志内市	3585	55.95	64.1	1665
1228	深川市	21909	529.42	41.4	9669
1229	富良野市	22936	600.71	38.2	9929
1230	登別市	49625	212.21	233.8	21681
1231	恵庭市	69702	294.65	236.6	28846
1233	伊達市	34995	444.21	78.8	15054
1234	北広島市	59064	119.05	496.1	23551
1235	石狩市	57436	722.42	79.5	22632
1236	北斗市	46390	397.44	116.7	18508
1300	石狩振興局	20607	500.89	41.1	8397
1303	当別町	17278	422.86	40.9	7327
1304	新篠津村	3329	78.04	42.7	1070
1330	渡島総合振興局	92429	2862.16	32.3	39390
1331	松前町	7337	293.25	25	3571
1332	福島町	4422	187.28	23.6	2039
1333	知内町	4653	196.75	23.6	2003
1334	木古内町	4547	221.87	20.5	2140
1337	七飯町	28120	216.75	129.7	11141
1343	鹿部町	4226	110.64	38.2	1660
1345	森町	15946	368.79	43.2	6628
1346	八雲町	17252	956.07	18	7523
1347	長万部町	5926	310.76	19.1	2685
1360	檜山振興局	37870	2630.32	14.4	16831
1361	江差町	8248	109.53	75.3	3752
1362	上ノ国町	4876	547.71	8.9	2173
1363	厚沢部町	4049	460.58	8.8	1765
1364	乙部町	3906	162.59	24	1729
1367	奥尻町	2690	142.97	18.8	1270
1370	今金町	5628	568.25	9.9	2280
1371	せたな町	8473	638.69	13.3	3862
